Muestra,Region,Nucleo,Celula
CXa,Corteza,Cortex,astrocyte
CXb,Corteza,Cortex,astrocyte
CXc,Corteza,Cortex,astrocyte
CXd,Corteza,Cortex,astrocyte
DLGa,Talamo,Dorsal,astrocyte
DLGb,Talamo,Dorsal,astrocyte
DLGc,Talamo,Dorsal,astrocyte
DLGd,Talamo,Dorsal,astrocyte  
DLGe,Talamo,Dorsal,astrocyte  
MGVa,Talamo,Medial,astrocyte  
MGVb,Talamo,Medial,astrocyte 
MGVc,Talamo,Medial,astrocyte  
MGVd,Talamo,Medial,astrocyte  
VPMa,Talamo,Ventral,astrocyte  
VPMb,Talamo,Ventral,astrocyte
VPMc,Talamo,Ventral,astrocyte 
VPMd,Talamo,Ventral,astrocyte
